approve,id,final_cls,reason,value,suggestion,entry_id,field_path,context_before,context_after,hf_cls,gemini_cls,rule_hint,note
,cand-1356752,uncertain,apparent_space_deletion,CONDIGNITY,CON DIGNITY,schaff-herzog.conder-claude-reignier,definition_blocks[1],,"AND CONGRUITT, or meritum de condigno a",uncertain,uncertain,,
,cand-1119255,error_no_fix,digit_in_letter,h3nceforth,h3nceforth,schaff-herzog.reformed-dutch-church,definition_blocks[8],"approved, though it was determined that",subscription should be made only to the,error,,,error confirmed but no correction suggestion
,cand-1165574,error_no_fix,digit_in_letter,Ren6e,Ren6e,schaff-herzog.renee-of-france,definition_blocks[1],Paolo Zendrini in 1900. These show that,was not only in correspondence with a v,error,,,error confirmed but no correction suggestion
,cand-1179675,error_no_fix,digit_in_letter,FRAN9OISE,FRAN9OISE,schaff-herzog.chantal-jeanne-fran9oise-fremiot,term,"CHANTAL, JEANNE",FREMIOT,error,,,error confirmed but no correction suggestion
,cand-1196068,error_no_fix,digit_in_letter,M6rlin,M6rlin,schaff-herzog.chemnitz-kemnitz-martin,definition_blocks[9],ersy. In 1567 he went with his superior,to Prussia to reorganize the Church the,error,,,error confirmed but no correction suggestion
,cand-1206721,error_no_fix,digit_in_letter,Soci6t6,Soci6t6,schaff-herzog.choky-jacques-eugene,definition_blocks[0],of Geneva. He has been a member of the,des sciences theo- logiques of Geneva s,error,,,error confirmed but no correction suggestion
,cand-1206818,error_no_fix,digit_in_letter,U6tat,U6tat,schaff-herzog.choky-jacques-eugene,definition_blocks[0],a Geneve au temps de Calvin (1897); and,chr&ien calviniste a Geneve au temps de,error,,,error confirmed but no correction suggestion
,cand-1249293,error_no_fix,digit_in_letter,6tates,6tates,schaff-herzog.church-discipline,definition_blocks[11],lism completed its destruction. In most,church discipline was expressly abolish,error,,,error confirmed but no correction suggestion
,cand-1251292,error_no_fix,digit_in_letter,4glises,4glises,schaff-herzog.church-discipline,definition_blocks[54],. 1800; La Discipline eccUeiaetique dee,"rif ar- mies de France, ed. D'Huisseau,",error,,,error confirmed but no correction suggestion
,cand-1255194,error_no_fix,digit_in_letter,liturgie3,liturgie3,schaff-herzog.church-government,definition_blocks[20],oughts come to light in a long array of,and other kinds of promul- gations on t,error,,,error confirmed but no correction suggestion
,cand-1308291,error_no_fix,digit_in_letter,Erzdi6ceee,Erzdi6ceee,schaff-herzog.cologne-archbishopric-of,definition_blocks[6],"qq. Consult: E. Podlech, Geechichte der","Kdln, Mains, 1879; C. A. Ley, Kolnieche",error,,,error confirmed but no correction suggestion
,cand-1318028,error_no_fix,digit_in_letter,foundati6n,foundati6n,schaff-herzog.common-life-brethren-of-the,definition_blocks[54],At the very,of the whole life lay the modtma devoti,error,,,error confirmed but no correction suggestion
,cand-1343372,error_no_fix,digit_in_letter,3TO,3TO,schaff-herzog.concordances,definition_blocks[6],"ordance 1438- 1448: P""PJKTl1PJ1p fcOpJH",TKD. He ar- ranged the roots alphabetic,error,,,error confirmed but no correction suggestion
,cand-1346822,error_no_fix,digit_in_letter,d9apres,d9apres,schaff-herzog.vh-french-concordances,definition_blocks[0],des concordances des Saintes ficritures,"la version du Dr. Segond, Lausanne, 188",error,,,error confirmed but no correction suggestion
,cand-1352482,error_no_fix,digit_in_letter,6ome,6ome,schaff-herzog.concordats-and-delimiting-bulls,definition_blocks[119],"in the conference was not the same, and",of them shortly withdrew. The dele- gat,error,,,error confirmed but no correction suggestion
,cand-1394822,error_no_fix,digit_in_letter,6tude,6tude,schaff-herzog.coquerel-atha5ase-josue,definition_blocks[1],": E. Stroehlin, Athanase Coquerel fits.","biographique, 2 vols., Paris, 1886.",error,,,error confirmed but no correction suggestion
,cand-1407829,error_no_fix,digit_in_letter,m3rsteiious,m3rsteiious,schaff-herzog.de,definition_blocks[0],"and Paris St. llartin communicated, in","phraseol- Qgy and ceremony, his "" revel",error,,,error confirmed but no correction suggestion
,cand-1407895,error_no_fix,digit_in_letter,pseudon3rm,pseudon3rm,schaff-herzog.de,definition_blocks[0],"he published his first work, under the","of ** un philosophe inc(onnu),"" Des err",error,,,error confirmed but no correction suggestion
,cand-1433263,error_no_fix,digit_in_letter,profe99orum,profe99orum,schaff-herzog.kaspar,definition_blocks[3],"iu*, Jena, 1713; M. J. C. Zeuzner, Vitm",". . . tn academia Jenenn, ib. 1703-06;",error,,,error confirmed but no correction suggestion
,cand-1456720,error_no_fix,digit_in_letter,6criturest,6criturest,schaff-herzog.daille-jean,definition_blocks[1],", 1653) ; La Foy fondte sur les Saintes",contre les nou- veaux MHhodistes (1634),error,,,error confirmed but no correction suggestion
,cand-1488617,error_no_fix,digit_in_letter,da3rs,da3rs,schaff-herzog.iii,definition_blocks[10],"when taking an oath, just as in former",German women did when swearing. In stil,error,,,error confirmed but no correction suggestion
,cand-1497422,error_no_fix,digit_in_letter,6tudee,6tudee,schaff-herzog.edl-postcanonical-development,definition_blocks[4],"4-206. Strasburg, 1904; M. J. Lagrange,","eur let religions eemitiquee, pp. 140 s",error,,,error confirmed but no correction suggestion
,cand-1498944,error_no_fix,digit_in_letter,even7,even7,schaff-herzog.deism,definition_blocks[24],"a, Egypt, Persia, India, savage nations",were brought within the horizon of reli,error,,,error confirmed but no correction suggestion
,cand-1516193,error_no_fix,digit_in_letter,D6vay,D6vay,schaff-herzog.devay-matyas-biro,definition_blocks[2],"are found in Dec, 1541, in Wittenberg.",took the op- portunity of visiting Swit,error,,,error confirmed but no correction suggestion
,cand-1525095,error_no_fix,digit_in_letter,Pens6es,Pens6es,schaff-herzog.diderot-denis,definition_blocks[1],xperience in encyclo- pedic system. His,"philosophiques (The Hague, 1746), in wh",error,,,error confirmed but no correction suggestion
,cand-1560617,error_no_fix,digit_in_letter,D6llinger,D6llinger,schaff-herzog.doellihger-johann-josef-ignaz-von,definition_blocks[18],,published articles on the,error,,,error confirmed but no correction suggestion
,cand-1584002,error_no_fix,digit_in_letter,6ix,6ix,schaff-herzog.dort-synod-of,definition_blocks[3],"mittimini, tie, tie."" The net result of",weeks' time was that the Remon- strants,error,,,error confirmed but no correction suggestion
,cand-1585197,error_no_fix,digit_in_letter,Lem6,Lem6,schaff-herzog.douen-emmanuel-orehtin,definition_blocks[0],1896. His par- ents in 1833 removed to,"(Aisne), and there his education was be",error,,,error confirmed but no correction suggestion
,cand-1585320,error_no_fix,digit_in_letter,6lienne,6lienne,schaff-herzog.douen-emmanuel-orehtin,definition_blocks[0],decreed a prize by the French Academy;,Dolet (1881); La Revocation de I'tdit d,error,,,error confirmed but no correction suggestion
,cand-1589752,error_no_fix,digit_in_letter,church4ore,church4ore,schaff-herzog.dragon,definition_blocks[3],A similar belieif entered the folk- and,of Christians; and just as the heroes a,error,,,error confirmed but no correction suggestion
,cand-1590885,error_no_fix,digit_in_letter,9entUdu,9entUdu,schaff-herzog.dreams,definition_blocks[4],"ms, London, 1886; H. Schulti. Altteeta-","Theologie, G5ttingen, 1888, Eng. transl",error,,,error confirmed but no correction suggestion
,cand-1590915,error_no_fix,digit_in_letter,S6dan,S6dan,schaff-herzog.drelnrcourt-charles,definition_blocks[0],French Reformed pastor; b. at,"July 10, 1596; d. m Paris Nov. 3, 1669.",error,,,error confirmed but no correction suggestion
,cand-1591547,error_no_fix,digit_in_letter,Ass3rrians,Ass3rrians,schaff-herzog.dress-and-ornament-hebrew,definition_blocks[8],richly ornamented mantle of well-tordo,"and Babylonians, which reached from the",error,,,error confirmed but no correction suggestion
,cand-1596999,error_no_fix,digit_in_letter,Z4fe,Z4fe,schaff-herzog.brummond-henry,definition_blocks[2],"l Speechee, ut sup.; Margaret Oliphant,","of Edward Irving, London, 1806; DNB, xv",error,,,error confirmed but no correction suggestion
,cand-1597258,error_no_fix,digit_in_letter,G9apd9,G9apd9,schaff-herzog.brummond-henry,definition_blocks[7],"CmUury, vol i.. ib. 1897; R. A. Watson.","of Ynttrdav, ib. 1898; T. Hunter Boyd.",error,,,error confirmed but no correction suggestion
,cand-1601504,error_no_fix,digit_in_letter,6tudeM,6tudeM,schaff-herzog.luste-seigneur,definition_blocks[3],SsyouB.,"awr let icrivaina d€ la Rtformation, ib",error,,,error confirmed but no correction suggestion
,cand-1601540,error_no_fix,digit_in_letter,6ERRIT,6ERRIT,schaff-herzog.dubbmk-6errit-hin-rik,term,"DUBBmK,",H£in>RIK,error,,,error confirmed but no correction suggestion
,cand-1601786,error_no_fix,digit_in_letter,BUR6HARDT,BUR6HARDT,schaff-herzog.du-bois-william-edward-bur6hardt,term,"DU BOIS, WILLIAM EDWARD",,error,,,error confirmed but no correction suggestion
,cand-1608233,error_no_fix,digit_in_letter,Tou9,Tou9,schaff-herzog.du-moulin,definition_blocks[15],"tumt franfoU, Tii. 170 sqq.; J. Asnmon,",let tynodf,error,,,error confirmed but no correction suggestion
,cand-1608241,error_no_fix,digit_in_letter,riformSe9,riformSe9,schaff-herzog.du-moulin,definition_blocks[16],Mhraottz dee iglima,"de France, The Hague,",error,,,error confirmed but no correction suggestion
